301	55	0
302	66	1
302	76	0
303	88	0
304	66	0
302	76	0
305	33	1
302	66	1
302	76	0
301	55	0
302	66	1
301	55	0
302	81	0
304	66	0
305	33	1
302	81	0
302	76	0
302	66	1
301	55	0
304	66	0
305	33	1
302	81	0
302	76	0
301	55	0
302	66	1
302	76	0
301	55	0
302	66	1
302	76	0
304	66	0
303	88	0
305	93	1
301	55	0
305	33	1
301	11	0
304	66	0
303	59	1
303	88	0
301	41	1
301	41	1
305	77	0
302	81	0
304	23	1
303	59	1
302	81	0
305	93	1
305	93	1
305	77	0
303	88	0
301	41	1
302	81	0
301	11	0
303	59	1
305	93	1
303	59	1
302	81	0
303	59	1
304	23	1
303	88	0
301	11	0
302	81	0
304	23	1
301	11	0
301	11	0
304	23	1
303	88	0
302	81	0
305	93	1
303	59	1
301	55	0
301	81	1
302	81	0
302	76	0
301	41	1
305	93	1
305	77	0
302	76	0
301	55	0
305	33	1
305	77	0
301	41	1
302	66	1
304	66	0
301	55	0
305	33	1
301	11	0
302	76	0
302	66	1
302	81	0
301	55	0
304	66	0
305	33	1
302	76	0
302	66	1
301	55	0
304	66	0
302	40	1
301	55	0
302	63	1
301	73	0
303	19	0
